ID|REDUMP_NAME
SLES-00265|Actua Tennis (Europe)
SLES-01396|Actua Tennis (Europe) (Fr,De)
SCPS-10126|Addie no Okurimono - To Moze from Addie (Japan)
SLES-04108|Adiboo & Paziral's Secret (Europe) (En,Fr,De,Es,It)
SCES-03558|Adibou et L'Ombre Verte (France)
SLES-00189|Adidas Power Soccer (Europe) (En,Fr,De,Es,It)
SCUS-94502|Adidas Power Soccer (USA)
SLES-00857|Adidas Power Soccer 2 (Europe) (En,Fr,De,Es,It,Nl)
SLES-01239|Adidas Power Soccer 98 (Europe) (En,Fr,De,Es,It,Nl)
SLED-01310|Adidas Power Soccer 98 (France) (Demo)
SLED-01311|Adidas Power Soccer 98 (Germany) (Demo)
SLUS-00547|Adidas Power Soccer 98 (USA)
SLES-00270|Adidas Power Soccer International '97 (Europe) (En,Fr,De,Es,It,Nl)
SLPS-03510|Adlib Ouji - ...to Fuyukai na Nakamatachi! (Japan)
SLPS-01689|Advan Racing (Japan)
SLES-00386|Advanced Dungeons & Dragons - Iron & Blood - Warriors of Ravenloft (Europe)
SLUS-00378|Advanced Dungeons & Dragons - Iron & Blood - Warriors of Ravenloft (USA)
SLUS-00212|Advanced Dungeons & Dragons - Iron & Blood - Warriors of Ravenloft (USA) (Demo)
SLPS-00208|Advanced V.G. (Japan)
SLPM-80017|Advanced V.G. (Japan) (Demo)
SLPS-01318|Advanced V.G. 2 (Japan)
SCUS-94906|Adventures of Lomax, The (USA)
SLPS-02367|Aerodive (Japan)
SLPM-80552|Affect Taikenban Vol. 1 (Japan)
SLPM-86834|Afraid Gear Another (Japan)
SLES-00474|Agent Armstrong (Europe) (En,Fr,De,Es)
SLPS-01073|Agent Armstrong - Himitsu Shirei Daisakusen (Japan)
SLES-00124|Agile Warrior - F-111X (Europe)
SLPS-00179|Agile Warrior - F-111X (Japan)
SLUS-00023|Agile Warrior - F-111X (USA)
SLPS-01409|Ai to Yuujou no Neko Monogatari. - Jingle Cats - Love Para Daisakusen no Maki (Japan)
SCES-00007|Air Combat (Europe)
SLUS-00001|Air Combat (USA)
SLES-03743|Air Hockey (Europe)
SLUS-01467|Air Hockey (USA)
SLPS-00269|Air Management '96 (Japan)
SLES-00762|Air Race (Europe)
SIPS-60005|AirAssault - The Red Mercury Missions (Japan)
SLPS-00559|AirGrave (Japan)
SLPS-01879|AirRace Championship (Japan)
SLES-02137|Aironauts (Europe) (En,Fr,De)
SLPS-01916|Airs, The (Japan)
SLPS-01096|Aishiau Koto Shika Dekinai (Japan)
SLPM-86254|Aitakute... - Your Smiles in My Heart (Japan) (Disc 1)
SLPM-86255|Aitakute... - Your Smiles in My Heart (Japan) (Disc 2)
SLPM-86256|Aitakute... - Your Smiles in My Heart (Japan) (Disc 3)
SLPM-86257|Aitakute... - Your Smiles in My Heart (Japan) (Disc 4)
SLPM-80162|Aitakute... - Your Smiles in My Heart - Oroshitate no Diary - Introduction Disc (Japan)
SLPS-01863|Akagawa Jiro - Majo Tachi no Nemuri - Fukkatsusai (Japan)
SLPS-91503|Akagawa Jiro - Yasoukyoku (Japan)
SLPS-01415|Akagawa Jiro - Yasoukyoku (Japan) (Shokai Genteiban)
SLPS-03213|Akagawa Jiro - Yasoukyoku 2 (Japan)
SLPS-00619|Akazu no Ma (Japan)
SLES-01298|Akuji the Heartless (Europe) (En,Fr,De)
SLUS-00715|Akuji the Heartless (USA)
SLUS-80715|Akuji the Heartless (USA) (Demo)
SLPM-86023|Akumajou Dracula X - Gekka no Yasoukyoku (Japan)
SLPM-86073|Akumajou Dracula X - Gekka no Yasoukyoku (Japan) (Rev 2)
SLPS-01578|Albaria no Otome - Uruwashi no Seikishitachi (Japan)
SLES-03150|Alex Ferguson's Player Manager 2001 (Europe)
SLES-03775|Alex Ferguson's Player Manager 2002 (Europe)
SLES-03290|Alexandra Ledermann 2 - Equitation Competition (France)
SLUS-00872|Alexi Lalas International Soccer (USA) (En,Fr,De,Es,It)
SCES-03817|Alfred Chicken (Europe) (En,Fr,De,Es,It)
SLES-12345|Alfred Chicken (Europe) (Proto)
SLES-02913|Alien Resurrection (Europe) (En,Fr,De,Es,It)
SLUS-00633|Alien Resurrection (USA)
SLES-00101|Alien Trilogy (Europe) (En,Fr,Es,It)
SLES-00288|Alien Trilogy (France) (Demo)
SLES-00246|Alien Trilogy (Germany)
SLPS-00332|Alien Trilogy (Japan)
SLUS-00007|Alien Trilogy (USA)
SLPS-01527|Alive (Japan) (Disc 1)
SLPS-01528|Alive (Japan) (Disc 2)
SLPS-01529|Alive (Japan) (Disc 3)
SLES-04162|All Music Dance! (Italy)
SLES-04107|All Star Action (Europe) (Disc 1)
SLES-14107|All Star Action (Europe) (Disc 2)
SLES-03958|All Star Boxing (Europe)
SLES-03740|All Star Racing (Europe)
SLUS-01460|All Star Racing (USA)
SLES-03933|All Star Racing 2 (Europe)
SLUS-01510|All Star Racing 2 (USA)
SLES-00747|All Star Soccer (Europe) (En,Fr,De,It)
SLED-01560|All Star Tennis '99 (Europe) (Demo)
SLES-01433|All Star Tennis '99 (Europe) (En,Fr,De,Es,It)
SLPS-01962|All Star Tennis '99 (Japan)
SLES-03963|All Star Tennis (Europe)
SLES-02764|All Star Tennis 2000 (Europe) (En,De,Es,It)
SLES-02765|All Star Tennis 2000 (France)
SLES-04060|All Star Watersports (Europe)
SLUS-00392|All-Star Baseball 97 featuring Frank Thomas (USA)
SLPS-00993|All-Star Mahjong - Karei naru Shoubushi kara no Chousen (Japan)
SLUS-01431|All-Star Slammin' D-Ball (USA)
SLES-02984|Alla Ricerca della Valle Incantata - Ritorno alla Grande Vallata (Italy)
SLES-00417|Allied General (Europe)
SLPS-00843|Allied General (Japan)
SLUS-00303|Allied General (USA)
SLPS-00173|Alnam no Kiba - Juuzoku Juuni Shinto Densetsu (Japan)
SLPM-80069|Alnam no Tsubasa - Shoujin no Sora no Kanata e (Japan) (Demo)
SLPS-01187|Alnam no Tsubasa - Shoujin no Sora no Kanata e (Japan) (Disc 1)
SLPS-01188|Alnam no Tsubasa - Shoujin no Sora no Kanata e (Japan) (Disc 2)
SLPS-01189|Alnam no Tsubasa - Shoujin no Sora no Kanata e (Japan) (Disc 3)
SLES-00037|Alone in the Dark - Jack Is Back (Europe) (En,Fr,De,Es,It)
SLUS-00239|Alone in the Dark - One-Eyed Jack's Revenge (USA)
SLES-02801|Alone in the Dark - The New Nightmare (Europe) (Disc 1)
SLES-12801|Alone in the Dark - The New Nightmare (Europe) (Disc 2)
SLES-02802|Alone in the Dark - The New Nightmare (France) (Disc 1)
SLES-12802|Alone in the Dark - The New Nightmare (France) (Disc 2)
SLES-02803|Alone in the Dark - The New Nightmare (Germany) (Disc 1)
SLES-12803|Alone in the Dark - The New Nightmare (Germany) (Disc 2)
SLES-02805|Alone in the Dark - The New Nightmare (Italy) (Disc 1)
SLES-12805|Alone in the Dark - The New Nightmare (Italy) (Disc 2)
SLES-02804|Alone in the Dark - The New Nightmare (Spain) (Disc 1)
SLES-12804|Alone in the Dark - The New Nightmare (Spain) (Disc 2)
SLUS-01201|Alone in the Dark - The New Nightmare (USA) (Disc 1)
SLUS-01377|Alone in the Dark - The New Nightmare (USA) (Disc 2)
SLPS-00141|Alone in the Dark 2 (Japan)
SLES-01135|Alundra (Europe)
SLED-01308|Alundra (Europe) (Demo)
SLES-01198|Alundra (France)
SLES-01256|Alundra (Germany)
SLES-01257|Alundra (Italy)
SCPS-10035|Alundra (Japan)
SLES-01258|Alundra (Spain)
SLUS-00553|Alundra (USA)
SLES-02600|Alundra 2 - A New Legend Begins (Europe)
SLUS-01017|Alundra 2 - A New Legend Begins (USA)
SLES-02602|Alundra 2 - Der Beginn einer neuen Legende (Germany)
SCPS-10115|Alundra 2 - Mashinka no Nazo (Japan)
SLES-02601|Alundra 2 - Une Legende Est Nee (France)
SLES-03858|Amazing Virtual Sea-Monkeys, The (Europe) (En,Fr,De,Es,It,Nl,Pt)
SLUS-01475|Amazing Virtual Sea-Monkeys, The (USA) (En,Es)
SLPS-00241|America Oudan Ultra Quiz (Japan)
SLPS-01802|America Oudan Ultra Quiz (Japan) (Fukkokuban)
SLES-04037|American Pool (Europe)
SLUS-01488|American Pool (USA)
SLES-02348|Amerzone - Das Testament des Forschungsreisenden (Germany) (Disc 1)
SLES-12348|Amerzone - Das Testament des Forschungsreisenden (Germany) (Disc 2)
SLES-02349|Amerzone - El Legado del Explorador (Spain) (Disc 1)
SLES-12349|Amerzone - El Legado del Explorador (Spain) (Disc 2)
SLES-02350|Amerzone - Il Testamento dell'Esploratore (Italy) (Disc 1)
SLES-12350|Amerzone - Il Testamento dell'Esploratore (Italy) (Disc 2)
SLES-02429|Amerzone - O Testamento do Explorador (Portugal) (Disc 1)
SLES-12429|Amerzone - O Testamento do Explorador (Portugal) (Disc 2)
SLES-02347|Amerzone - The Explorer's Legacy (Europe) (Disc 1)
SLES-12347|Amerzone - The Explorer's Legacy (Europe) (Disc 2)
SLES-02346|Amerzone, L' (France) (Disc 1)
SLES-12346|Amerzone, L' (France) (Disc 2)
SLES-02961|Anastasia (Europe) (En,Fr,De,Nl)
SLPS-01108|Ancient Roman - Power of Dark Side (Japan) (Disc 1)
SLPS-01109|Ancient Roman - Power of Dark Side (Japan) (Disc 2)
SLPM-80141|Ancient Roman Extra (Japan) (Demo)
SLES-00438|Andretti Racing (Europe)
SLES-00439|Andretti Racing (France)
SLES-00440|Andretti Racing (Germany)
SLPS-00759|Andretti Racing (Japan)
SLUS-00264|Andretti Racing (USA)
SLPS-00894|Angel Blade - Neo Tokyo Guardians (Japan)
SLPM-80094|Angel Blade - Neo Tokyo Guardians (Japan) (Demo)
SLPM-86960|Angel Blade - Neo Tokyo Guardians (Japan) (Major Wave)
SLPS-00163|Angel Graffiti - Anata e no Profile (Japan)
SLPM-86165|Angelique - Tenkuu no Requiem (Japan)
SLPM-86510|Angelique - Tenkuu no Requiem (Japan) (Angelique History)
SLPM-86493|Angelique Duet (Japan)
SLPM-86509|Angelique Duet (Japan) (Angelique History)
SLPM-86189|Angelique Special (Japan)
SLPM-86492|Angelique Special 2 (Japan)
SLPM-86508|Angelique Special 2 (Japan) (Angelique History)
SLES-04071|Animal Football (Europe) (En,Fr,De)
SLES-04036|Animal Snap - Rescue Them 2 by 2 (Europe)
SLUS-00784|Animaniacs - Ten Pin Alley (USA)
SLPS-01830|Animetic Story Game 1 - Cardcaptor Sakura (Japan) (Disc 1)
SLPS-01831|Animetic Story Game 1 - Cardcaptor Sakura (Japan) (Disc 2)
SLUS-01010|Animorphs - Shattered Reality (USA)
SLPS-01068|Ankh - Tutankhamen no Nazo (Japan) (Disc 1)
SLPS-01069|Ankh - Tutankhamen no Nazo (Japan) (Disc 2)
SCES-01833|Anna Kournikova's Smash Court Tennis (Europe)
SLPS-01424|Annanjarin (Japan)
SLPS-01522|Ano Ko Doko no Ko (Japan)
SLPS-01431|Another Memories (Japan)
SLPS-01655|Another Mind (Japan)
SLPM-80321|Another Mind (Japan) (Demo)
SLES-02563|Anstoss - Premier Manager (Germany)
SLPS-02940|Ao no 6-gou - Antarctica (Japan) (Disc 1)
SLPS-02941|Ao no 6-gou - Antarctica (Japan) (Disc 2)
SLPS-01579|Aoki Ookami to Shiroki Mejika - Genchou Hishi (Japan)
SLPS-03564|Aozora to Nakama-tachi - Yume no Bouken Plus (Japan)
SCES-01564|Ape Escape (Europe)
SCED-02133|Ape Escape (Europe) (Demo)
SCES-02028|Ape Escape (France)
SCES-02029|Ape Escape (Germany)
SCES-02030|Ape Escape (Italy)
SCUS-94423|Ape Escape (USA)
