ID|CRC32|MD5|SHA1
SLES-03972|600dbf72|116dce216eae6ffc5bb24888d4d64daf|52ad9cb0c25f0d247eebe8956a06e278c5aa479f
SLES-01164|7943faba|b3fef00a0d4165f2e039457239db098b|c0afe067ae0383e37e8c9bda6fbfec695de69728
SLES-00586|6d4e0100|1bbb43164d253abb20e6c7d1488ea8bd|efa74e250584139979aacf6a9048eb0eff433f6f
SLES-03686|3c2d3daa|c7b57c6b28008a162a07fcf105fc1346|d7a6ed51b4db898d38150600e7fa2a8903d48772
SLES-02198|bb27bb5d|2957d3cb3701a2c6592fddca5f94576b|9c20ff5af886fbd05f171b52f4996813a30c7735
SLES-03838|09259e1b|d1258491fcfc20c761309f089c3136e2|a3441add8d451b62611619692cf7bec317efa48d
SLES-02590|13f45b4c|2001af72efccf1d8c3916ec025bf5537|ca69d285c542d469667c89138080c53bc858b0e0
SLES-03595|44d2f8df|8cebd1acddf5f906717f1de2530cef3a|f1468afaa1e400b55aa36a146938357be0bda6bc
SLES-00015|148041d1|73131a81f78539c89a4d25c016cc108f|97e99284e2fe0ed8c5e0c22927f72ac923e26a43
SLES-00857|a7201a1e|9ad29dc06aa6a1aad5821b199d7c2174|3c2c869316c9508068fa0c229ffef0d98380592e
SLES-00044|fb327112|b5a24949fbe8d9034454686e8cd901c5|df1417622e509b44c76346ab87da0c0f2e888a38
SLES-01042|ba6364af|fe3fed97cfa81a4f2e6f6b95ceb27472|52e5662ec616486f4b1825d6468c5d8143a37006
SLES-03743|4bbf7b76|6b557b87ef0b06ffe9797cd0612b6125|9bea0253b927d075a27f21eb65bdfc033430b41a
SCES-00007|f69355a7|625863ee8d87848af30c381c0629af35|4f899b00656f81a96bc5a8cd0a634d34e33c57a3
SLES-01647|558b0c2a|8238a7650177e47c34c462b0145f2914|43944196f8e88ded5fb4ec2248d84dfd3dd587f3
SCES-21567|2e9a005d|acdd1868b790b10ee3b695257a0b1277|f4ccedca8f5969ee9d463750ba95f9492de09a0c
SLES-01239|650d5c30|90491afa4bb443c7cf93abfc3848d8d4|4b767996ab1c0d5ffb1a8b5182a8b4408902a692
SCES-11567|e8876f69|17fadf4d28c50cfd93d90b0a9fa484c7|6515d72e105565b2ebcb877a8b82199a2d8d78d9
SCES-01567|85066a49|8ebf1b44daee062bb78529c3014de23e|ed56070f1175dc6dbcd5e70951588fde511605ec
SCES-00902|08aa1f95|e64b3f2abb56a76247d0ee5b96f39aff|e8fbc9050b5e1034f8b1d116c64382543b982c94
SLES-00189|3210c902|ace6849b30c1392ebb39b93236a236aa|af45113b2afe6ab1d4e0dd7faae126a149f9e986
SLES-03963|0a000d32|b6e3a88b0d88d6098324ad624fa06152|58ab1950551601195ceffebde931390d709c7b85
SLES-00270|6ca8bdca|e12e992311214d07cdbd2066062e3c96|c1fda950942d7bf6757c5e6eed1e2763acef7c63
SCES-02066|880a1ef8|62fc939e8866547fc760eb04e02d2e02|327f087ce623eaa06d0f68356f433dbea4683bb0
SCES-31567|33856529|a0d60a0582caa4771fad0bc517a3c9e5|2ab63e52a50a9ecfdf0d42a9808443c6d79c5ecc
SLES-12803|c1be499a|9a47b1e117dbaa4cd885c9b4f5ad9357|2fa117c24aa4ad973bccb98f25496e02bfa4a944
SLES-01748|5822e7b4|f428548c11947cdaa4c12176c09e987a|8edf8e5addd64cf53a9dfe99562142c9ceffabf0
SLES-00466|5c4b59dd|fcdfdb4d4271a09d71c64bdc6b8284ec|bac246580b90edead136c9610844680c7b391342
SLES-00037|c6fb1457|d3d2b9f801f5fcec3352be7beed63b19|a7f62b16e6d2ee257d947112628f93e9d23521a5
SLES-01433|70fb0ade|e1caf800d9b47d7dff19ba4f00e97377|f834fc1d3c743f9f27d225754283f53679e9d40a
SLES-03945|8ef07f85|71f4090bcb39cd4f02e930d754058055|be0f71af249729aa4b1991650cb56a663be38a7c
SLES-00712|16648c5b|2aa779ada308b9c45e0f290a22413036|d24112956480500ed4e69e84bb58e9284ad0aabd
SLES-03324|c80b100a|4a83d7b20e6aa938388d4ff72ec82b36|7e86603b865971ddf43a090ef0f17eff06f85c66
SLES-00578|00aa27ab|da17099f3e13af5c7b19a0ddfc4c38de|db16b0530295b4e469a0730760b7738354426aec
SLES-00739|e9234856|b4628b207ddd41437e2100469d30538|3fe74b9e5f39effb06bd2bee028c02387debcfce
SLES-02803|1e60bc0b|58035985989fca5675a768996b665888|a0132932f33bb570d1790702dd74ad9672f1ae89
SLES-03808|245f9d43|5ba26c1367ac7e7940351e2837347832|297ba965a9e2207d108cbb4243771473f2a26e07
SLES-00909|8499cf06|3b24bc08df133cae85e2224184707afe|aba851c22e2c93648478e89a9450c83544efd277
SCES-02029|8099c0ed|deda67dc6cfb427674d68fbd85774f0|99ece6e3a58a63367999910484d304294928dd1
SLES-02341|4b546494|10bcf588a6922215e0a3e74da6b619d4|a118c54bca32b004732b47082d13fe246eb1bf00
SLES-02339|d9f9b330|3897f30c7a3537d4bb3d7de5cb7a2a29|450bb487f9f40bacb35f27a28e0ba27155ca5770
